City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
105,Popondetta,PG,89.37,Clear,-8.75,148.25,Timos Transit House
107,Faanui,PF,77.76,Rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
113,Picota,PE,78.31,Clouds,-6.92,-76.33,Hospedaje Vanessa
118,Yatou,CN,76.15,Clouds,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
126,Kununurra,AU,82.4,Clouds,-15.77,128.73,Hotel Kununurra
129,Goundam,ML,89.76,Clouds,16.41,-3.67,
147,Hasaki,JP,89.01,Clouds,35.73,140.83,Inubosaki Kanko Hotel
150,Juruti,BR,84.16,Clouds,-2.15,-56.09,Hotel Acauã - ORLA
152,Westport,US,77.0,Clear,41.14,-73.36,The Westport Inn
153,Bilma,NE,89.19,Clouds,18.69,12.92,Expeditions Ténére voyages
155,East Wenatchee Bench,US,88.0,Clear,47.43,-120.28,SpringHill Suites by Marriott Wenatchee
156,Kapaa,US,84.99,Rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
159,Hithadhoo,MV,82.76,Clouds,-0.6,73.08,Scoop Guest House
160,Manono,CD,76.08,Clouds,-7.3,27.42,Hotel hewa bora
167,Riyadh,SA,84.2,Clouds,24.69,46.72,InterContinental Riyadh
171,Ternate,ID,82.06,Clear,0.8,127.4,Grand Dafam Bela Ternate
172,Yuxia,CN,77.0,Clear,34.06,108.63,Xinhua Hostel
178,Gat,IL,77.0,Clear,31.61,34.76,רגע בנחת
180,Alofi,NU,78.8,Clouds,-19.06,-169.92,Taloa Heights
184,Mecca,SA,88.84,Clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
188,Villa Guerrero,MX,80.6,Clouds,18.87,-99.65,"Ixtapan de la Sal Marriott Hotel, Spa & Convention Center"
191,Melaka,MY,75.2,Clouds,2.2,102.24,Hatten Hotel Melaka
193,Meulaboh,ID,76.57,Clouds,4.14,96.13,Kost Pria
196,Foca,TR,77.0,Clear,38.67,26.76,Huri&Nuri Hotel
197,Alice Springs,AU,75.0,Clear,-23.7,133.88,Desert Palms Alice Springs
200,Trincomalee,LK,80.15,Clouds,8.57,81.23,Welcombe Hotel
202,Tura,IN,75.33,Clouds,25.52,90.22,Hotel RIKMAN Continental
205,Baghdad,IQ,82.4,Clear,33.34,44.4,Baghdad Hotel
207,Chawinda,PK,80.6,Thunderstorm,32.35,74.71,Mirza Jameel Boring company
208,Dingle,PH,80.8,Clouds,11.0,122.67,Camp Pasica
209,Nishihara,JP,82.4,Rain,26.18,127.76,Minshuku Agaihama
212,Arlit,NE,89.04,Clouds,18.74,7.39,Hôtel Telwa Bungalow
214,Itarema,BR,77.79,Clear,-2.92,-39.92,Windvillage
222,Port Blair,IN,81.55,Clouds,11.67,92.75,Fortune Resort Bay Island
226,Jaciara,BR,79.86,Clouds,-15.97,-54.97,Taba Hotel
227,Ascension,US,80.6,Thunderstorm,30.22,-90.9,Highland Inn
228,San Matias,BO,89.17,Clouds,-16.37,-58.4,"HOTEL ""SAN JOSE"""
230,Ranong,TH,77.0,Clouds,9.97,98.63,Tinidee Hotel@Ranong
235,Manuk Mangkaw,PH,84.16,Rain,4.8,119.85,
237,Bubaque,GW,80.13,Rain,11.28,-15.83,Casa Dora
239,Lotofaga,WS,87.8,Clouds,-13.98,-171.86,Sataoa Beach Fales
241,Codajas,BR,79.52,Clouds,-3.84,-62.06,Hotel Tamires
243,Natal,BR,77.0,Clouds,-5.79,-35.21,Villa Park Hotel | Natal
246,Kulhudhuffushi,MV,81.79,Clouds,6.62,73.07,Haajy Guest House 1
250,Agropoli,IT,75.99,Clear,40.35,15.0,B&B Baia di Trentova
252,Marsa Matruh,EG,77.2,Clear,31.35,27.25,Beau Site
254,Minab,IR,87.8,Clouds,27.15,57.08,فروشگاه موبایل ترکمانی
