City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
199,Bibiani,GH,6.46,-2.32,68.9,99,34,2.35,Clouds
200,Trincomalee,LK,8.57,81.23,80.15,80,87,14.94,Clouds
201,Thunder Bay,CA,48.4,-89.32,64.99,100,90,3.36,Clouds
202,Tura,IN,25.52,90.22,75.33,87,79,5.23,Clouds
203,Aklavik,CA,68.22,-135.01,60.8,36,20,8.05,Clouds
204,Huarmey,PE,-10.07,-78.15,62.71,83,47,9.82,Clouds
205,Baghdad,IQ,33.34,44.4,82.4,37,0,4.7,Clear
206,Ulladulla,AU,-35.35,150.47,55.99,47,19,14.99,Clouds
207,Chawinda,PK,32.35,74.71,80.6,94,75,6.93,Thunderstorm
208,Dingle,PH,11.0,122.67,80.8,79,29,2.98,Clouds
209,Nishihara,JP,26.18,127.76,82.4,88,75,11.41,Rain
210,Bustamante,MX,26.53,-100.5,91.36,38,48,6.22,Clouds
211,Druzhnaya Gorka,RU,59.28,30.14,55.99,76,82,4.47,Clouds
212,Arlit,NE,18.74,7.39,89.04,39,98,5.97,Clouds
213,Ereymentau,KZ,51.62,73.1,56.08,95,28,6.96,Clouds
214,Itarema,BR,-2.92,-39.92,77.79,80,0,13.29,Clear
215,Almaznyy,RU,48.04,40.05,59.0,62,56,4.47,Clouds
216,Astana,KZ,51.18,71.45,57.2,76,47,6.71,Clouds
217,Yangambi,CD,0.81,24.43,70.03,97,23,1.77,Clouds
218,Kruisfontein,ZA,-34.0,24.73,55.99,74,70,3.0,Clouds
219,Shitanjing,CN,39.23,106.34,71.65,34,13,3.0,Clouds
220,Tiverton,GB,50.9,-3.48,55.0,93,100,2.24,Clouds
221,Pangoa,PE,-12.12,-73.0,71.2,77,66,2.66,Clouds
222,Port Blair,IN,11.67,92.75,81.55,81,78,9.35,Clouds
223,Flinders,AU,-34.58,150.86,57.99,56,19,4.0,Clouds
224,Maceio,BR,-9.67,-35.74,71.6,83,20,3.36,Clouds
225,Bagdarin,RU,54.43,113.6,54.32,71,10,1.95,Clear
226,Jaciara,BR,-15.97,-54.97,79.86,36,13,1.19,Clouds
227,Ascension,US,30.22,-90.9,80.6,88,40,8.05,Thunderstorm
228,San Matias,BO,-16.37,-58.4,89.17,32,21,4.54,Clouds
229,Muros,ES,42.78,-9.06,68.0,96,15,5.01,Clouds
230,Ranong,TH,9.97,98.63,77.0,94,20,4.92,Clouds
231,Baykit,RU,61.67,96.37,55.29,65,100,3.02,Clouds
232,Provideniya,RU,64.38,-173.3,57.2,67,75,4.47,Clouds
233,Oksfjord,NO,70.24,22.35,46.4,70,99,9.17,Clouds
234,Constitucion,CL,-35.33,-72.42,49.82,89,36,6.11,Clouds
235,Manuk Mangkaw,PH,4.8,119.85,84.16,72,19,8.68,Rain
236,Erenhot,CN,43.65,111.98,74.8,36,0,10.02,Clear
237,Bubaque,GW,11.28,-15.83,80.13,82,100,17.11,Rain
238,Vilyuysk,RU,63.76,121.62,53.51,45,0,2.86,Clear
239,Lotofaga,WS,-13.98,-171.86,87.8,70,75,9.17,Clouds
240,Mananjary,MG,-21.22,48.33,68.58,90,8,8.48,Clear
241,Codajas,BR,-3.84,-62.06,79.52,65,67,0.81,Clouds
242,Shakawe,BW,-18.37,21.85,64.65,28,5,4.5,Clear
243,Natal,BR,-5.79,-35.21,77.0,73,20,13.87,Clouds
244,Makat,KZ,47.65,53.35,73.9,30,28,3.94,Clouds
245,Wolfville,CA,45.08,-64.37,62.6,48,75,18.34,Clouds
246,Kulhudhuffushi,MV,6.62,73.07,81.79,75,100,13.22,Clouds
247,Launceston,AU,-41.45,147.17,53.01,81,75,16.11,Clouds
248,Khatanga,RU,71.97,102.5,58.1,58,14,5.26,Clouds
249,Broome,US,42.25,-75.83,68.0,63,75,6.93,Clouds
